year,movie,other_data,rating,distributor,total,total_2012_constant,num_tickets
1995,Batman Forever,"Super Hero 
Live Action 
Original Screenplay 
Action",PG-13,Warner Bros.,184031112,336755776,42306002
1996,Independence Day,"Science Fiction 
Live Action 
Original Screenplay 
Adventure",PG-13,20th Century Fox,306169255,551381734,69269062
1997,Men in Black,"Science Fiction 
Live Action 
Based on Comic/Graphic Novel 
Adventure",PG-13,Sony Pictures,250650052,434678518,54607854
1998,Titanic,"Historical Fiction 
Live Action 
Original Screenplay 
Thriller/Suspense",PG-13,Paramount Pictures,443319081,752413619,94524324
1999,Star Wars Ep. I: The Phantom Menace,"Science Fiction 
Animation/Live Action 
Original Screenplay 
Adventure",PG,20th Century Fox,430443350,674474218,84732942
2000,How the Grinch Stole Christmas,"Kids Fiction 
Live Action 
Based on Fiction Book/Short Story 
Comedy",PG,Universal,253367455,374175306,47006948
2001,Harry Potter and the Sorcerer’s Stone,"Fantasy 
Animation/Live Action 
Based on Fiction Book/Short Story 
Adventure",PG,Warner Bros.,300404434,422476904,53074988
2002,Spider-Man,"Super Hero 
Live Action 
Based on Comic/Graphic Novel 
Adventure",PG-13,Sony Pictures,403706375,553098578,69484746
2003,Finding Nemo,"Kids Fiction 
Digital Animation 
Original Screenplay 
Adventure",G,Walt Disney,339714367,448445497,56337374
2004,Shrek 2,"Kids Fiction 
Digital Animation 
Based on Fiction Book/Short Story 
Adventure",PG,Dreamworks SKG,441226247,565565363,71050925
2005,Star Wars Ep. III: Revenge of the Sith,"Science Fiction 
Animation/Live Action 
Original Screenplay 
Adventure",PG-13,20th Century Fox,380270577,472223673,59324582
2006,Pirates of the Caribbean: Dead Man’s Chest,"Historical Fiction 
Live Action 
Based on Theme Park Ride 
Adventure",PG-13,Walt Disney,423315812,514441809,64628368
2007,Spider-Man 3,"Super Hero 
Live Action 
Based on Comic/Graphic Novel 
Adventure",PG-13,Sony Pictures,336530303,389357732,48914288
2008,The Dark Knight,"Super Hero 
Live Action 
Based on Comic/Graphic Novel 
Action",PG-13,Warner Bros.,531001578,588686990,73955652
2009,Transformers: Revenge of the Fallen,"Science Fiction 
Animation/Live Action 
Based on TV 
Action",PG-13,Paramount Pictures,402111870,426774731,53614916
2010,Toy Story 3,"Kids Fiction 
Digital Animation 
Original Screenplay 
Adventure",G,Walt Disney,415004880,418686798,52598844
2011,Harry Potter and the Deathly Hallows: Part II,"Fantasy 
Animation/Live Action 
Based on Fiction Book/Short Story 
Adventure",PG-13,Warner Bros.,381011219,382452624,48046812
2012,The Avengers,"Super Hero 
Animation/Live Action 
Based on Comic/Graphic Novel 
Action",PG-13,Walt Disney,623279547,623279542,78301450
2013,Iron Man 3,"Super Hero 
Animation/Live Action 
Based on Comic/Graphic Novel 
Action",PG-13,Walt Disney,408992272,400440154,50306552
2014,Guardians of the Galaxy,"Super Hero 
Animation/Live Action 
Based on Comic/Graphic Novel 
Adventure",PG-13,Walt Disney,333055258,324494471,40765637
2015,Star Wars Ep. VII: The Force Awakens,"Science Fiction 
Animation/Live Action 
Original Screenplay 
Adventure",PG-13,Walt Disney,742208942,700828369,88043765
2016,Finding Dory,"Kids Fiction 
Digital Animation 
Original Screenplay 
Adventure",PG,Walt Disney,486295561,447504354,56219140
2017,Beauty and the Beast,"Fantasy 
Animation/Live Action 
Remake 
Musical",PG,Walt Disney,503735481,503735481,58235315